"","ID_no_Rep_dup","sigma","isConv","finTol","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","1_1",0.229277225020563,TRUE,1.49011611938477e-08,3.35032806402284,3.29934387195433,8.52195606057144,0.89365678052321,17,21
"2","10_1",0.459765710760047,TRUE,1.49011611938477e-08,-6.63129839694896,23.2625967938979,26.4578834419742,2.11384508790691,10,14
"3","100_1",0.381555594348717,TRUE,1.49011611938477e-08,-8.27798063756925,26.5559612751385,32.2334323547843,2.76610875999725,19,23
"4","101_1",0.237943018945093,TRUE,1.49011611938477e-08,2.57002485109762,4.85995029780477,8.72289390900367,0.679402563176459,12,16
"5","102_1",0.0995159675805868,TRUE,1.49011611938477e-08,17.3847207030071,-24.7694414060142,-20.6033746857331,0.128744561445505,13,17
"6","103_1",0.048583024705084,TRUE,1.49011611938477e-08,47.1133012476783,-84.2266024953566,-77.5655799444806,0.0566474469478752,24,28
"7","104_1",0.289347091153316,TRUE,1.49011611938477e-08,-2.29083838952459,14.5816767790492,20.6760559033902,1.75815652233659,21,25
"8","105_1",0.201241089304841,TRUE,1.49011611938477e-08,5.25046629489694,-0.500932589793877,3.36201102140503,0.485975712295187,12,16
"9","106_1",0.322255686901759,TRUE,1.49011611938477e-08,-2.8956839261362,15.7913678522724,20.2432266417532,1.45388218836734,14,18
"10","107_1",0.361794667519948,FALSE,1.49011611938477e-08,-9.10517295549819,28.2103459109964,34.8713684618724,3.14148915470087,24,28
"11","108_1",0.312702822229056,TRUE,1.49011611938477e-08,-3.70090528928302,17.401810578566,23.0792816582118,1.85787804557032,19,23
"12","109_1",0.0761517385257751,TRUE,1.49011611938477e-08,19.6674945085415,-29.3349890170831,-25.794738011572,0.0637899600854782,11,15
"13","11_1",0.515978353928501,TRUE,1.49011611938477e-08,-9.81451252555722,29.6290250511144,33.4919686623133,3.19480394067319,12,16
"14","110_1",0.538931760943767,TRUE,1.49011611938477e-08,-11.3328837526915,32.665767505383,36.8318342256641,3.77581675840134,13,17
"15","111_1",0.502686758539622,TRUE,1.49011611938477e-08,-17.5764372890978,45.1528745781957,51.6320589082173,5.81196147585466,23,27
"16","112_1",0.0857175875990344,TRUE,1.49011611938477e-08,31.2153536319374,-52.4307072638748,-45.7696847129988,0.176340115771155,24,28
"17","113_1",0.0284101590097317,TRUE,1.49011611938477e-08,38.6954330864356,-67.3908661728712,-63.2247994525901,0.0104927827544571,13,17
"18","114_1",0.0641436817614912,TRUE,1.49011611938477e-08,23.5445149988681,-37.0890299977362,-33.2260863865373,0.0493729429190335,12,16
"19","115_1",0.0355185117455912,FALSE,1.49011611938477e-08,55.883465889978,-101.766931779956,-95.10590922908,0.0302775522389209,24,28
"20","119_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
