"","ID_no_Rep_dup","LogPopBio","Time","(weights)",".fitted",".resid"
"1","100_1",-3.52484051029261,3.69515011547344,1,-3.22059282365067,-0.304247686641939
"2","100_1",-3.08991606718426,5.54272517321021,1,-3.11968172381089,0.0297656566266271
"3","100_1",-2.59109892003378,9.23787528868354,1,-2.92565269357659,0.334553773542812
"4","100_1",-2.23205990880016,23.094688221709,1,-2.28852739522733,0.0564674864271684
"5","100_1",-1.64361026608351,47.1131639722862,1,-1.49651234706546,-0.147097919018045
"6","100_1",-1.13344762013205,71.1316397228637,1,-1.03020023577009,-0.103247384361957
"7","100_1",-0.74536306725392,95.150115473441,1,-0.791701404016339,0.0463383367624192
"8","100_1",-0.523385566601553,118.24480369515,1,-0.690986745161278,0.167601178559725
"9","100_1",-0.376135036703001,143.187066974596,1,-0.652140452215335,0.276005415512334
"10","100_1",-0.375202501934371,167.205542725173,1,-0.641992113848743,0.266789611914372
"11","100_1",-0.401785972196305,191.22401847575,1,-0.639868955328422,0.238082983132117
"12","100_1",-0.441458517292731,215.242494226328,1,-0.63955279888523,0.198094281592499
"13","100_1",-0.436329149794986,239.260969976905,1,-0.63952139309524,0.203192243300254
"14","100_1",-0.431225958497912,263.279445727483,1,-0.639519466446106,0.208293507948194
"15","100_1",-0.476393206267174,287.29792147806,1,-0.639519399878653,0.163126193611479
"16","100_1",-0.541911997077224,310.392609699769,1,-0.639519398720875,0.0976074016436511
"17","100_1",-0.672756038341508,335.334872979215,1,-0.639519398709927,-0.0332366396315807
"18","100_1",-0.703317273819303,359.353348729792,1,-0.639519398709901,-0.0637978751094016
"19","100_1",-0.815940436968373,382.448036951501,1,-0.639519398709901,-0.176421038258472
"20","100_1",-0.857499061812769,407.390300230947,1,-0.639519398709901,-0.217979663102868
"21","100_1",-0.941107293639364,431.408775981524,1,-0.639519398709901,-0.301587894929463
"22","100_1",-1.02488974215049,455.427251732101,1,-0.639519398709901,-0.385370343440589
"23","100_1",-1.19245103424193,479.445727482679,1,-0.639519398709901,-0.552931635532029
"24","101_1",-4.14114339663892,0.552268244575856,1,-4.11876812057886,-0.0223752760600568
"25","101_1",-3.44865432732353,2.20907297830371,1,-3.44529470529028,-0.00335962203324991
"26","101_1",-3.10054127764065,3.58974358974351,1,-2.97940289737562,-0.121138380265029
"27","101_1",-2.60123891530164,4.69428007889536,1,-2.6594265240804,0.0581876087787618
"28","101_1",-2.32239399846353,5.52268244575933,1,-2.44632303068295,0.123929032219417
"29","101_1",-2.14913197989849,6.62721893491116,1,-2.19386604426234,0.0447340643638459
