"","ID_no_Rep_dup","LogPopBio","Time",".fitted",".resid"
"1","100_1",-3.52484051029261,3.69515011547344,-2.19871384273054,-1.32612666756207
"2","100_1",-3.08991606718426,5.54272517321021,-2.18553598538627,-0.904380081797989
"3","100_1",-2.59109892003378,9.23787528868354,-2.15804922491351,-0.433049695120266
"4","100_1",-2.23205990880016,23.094688221709,-2.0430508701468,-0.189009038653358
"5","100_1",-1.64361026608351,47.1131639722862,-1.81409634941743,0.17048608333392
"6","100_1",-1.13344762013205,71.1316397228637,-1.57719064613498,0.443743026002925
"7","100_1",-0.74536306725392,95.150115473441,-1.35950812117222,0.614145053918303
"8","100_1",-0.523385566601553,118.24480369515,-1.18185909099697,0.658473524395413
"9","100_1",-0.376135036703001,143.187066974596,-1.02869386814454,0.652558831441542
"10","100_1",-0.375202501934371,167.205542725173,-0.916304124630911,0.54110162269654
"11","100_1",-0.401785972196305,191.22401847575,-0.832660952422089,0.430874980225784
"12","100_1",-0.441458517292731,215.242494226328,-0.771635973633917,0.330177456341186
"13","100_1",-0.436329149794986,239.260969976905,-0.727725675746309,0.291396525951323
"14","100_1",-0.431225958497912,263.279445727483,-0.696434081929751,0.265208123431839
"15","100_1",-0.476393206267174,287.29792147806,-0.674284672044286,0.197891465777112
"16","100_1",-0.541911997077224,310.392609699769,-0.659183924169546,0.117271927092322
"17","100_1",-0.672756038341508,335.334872979215,-0.647722041911932,-0.0250339964295764
"18","100_1",-0.703317273819303,359.353348729792,-0.640044760372446,-0.0632725134468568
"19","100_1",-0.815940436968373,382.448036951501,-0.634847437513966,-0.181092999454407
"20","100_1",-0.857499061812769,407.390300230947,-0.630922139618686,-0.226576922194083
"21","100_1",-0.941107293639364,431.408775981524,-0.62830230092888,-0.312804992710484
"22","100_1",-1.02488974215049,455.427251732101,-0.626474150955302,-0.398415591195188
"23","100_1",-1.19245103424193,479.445727482679,-0.625198928385094,-0.567252105856836
"24","101_1",-4.14114339663892,0.552268244575856,-2.77317457146192,-1.367968825177
"25","101_1",-3.44865432732353,2.20907297830371,-2.68698170598648,-0.76167262133705
"26","101_1",-3.10054127764065,3.58974358974351,-2.6122013690249,-0.488339908615752
"27","101_1",-2.60123891530164,4.69428007889536,-2.5507985659915,-0.0504403493101426
"28","101_1",-2.32239399846353,5.52268244575933,-2.50399332533404,0.181599326870514
"29","101_1",-2.14913197989849,6.62721893491116,-2.44078640738595,0.291654427487456
"30","101_1",-1.96299583272734,7.73175542406304,-2.37689519676542,0.413899364038077
"31","101_1",-1.83892021123079,8.56015779092698,-2.32867508741657,0.489754876185776
"32","101_1",-1.67053808664761,9.66469428007881,-2.26416912011283,0.593631033465219
"33","101_1",-0.902916542817759,23.7475345167652,-1.49852579161994,0.595609248802183
"34","101_1",-0.444718468193045,47.7712031558183,-0.731107248434128,0.286388780241083
"35","101_1",-0.226840098319054,71.7948717948717,-0.462836334315313,0.235996235996259
"36","101_1",-0.278649315038048,95.818540433925,-0.382486506639601,0.103837191601553
"37","101_1",-0.511073292714105,119.842209072978,-0.359465318987784,-0.151607973726321
"38","101_1",-0.685376842142935,144.14201183432,-0.352914834345359,-0.332462007797576
"39","102_1",-4.31481788498046,0.0037136066547987,-2.74140061760448,-1.57341726737598
"40","102_1",-3.72703122007833,0.840017825311946,-2.66670565651768,-1.06032556356065
"41","102_1",-3.09104245335832,2.23484848484847,-2.53707304905649,-0.553969404301831
"42","102_1",-2.74620196706659,3.62893642305406,-2.40307981171447,-0.343122155352121
"43","102_1",-2.31333788477031,3.63859180035652,-2.40214136480149,0.0888034800311752
"44","102_1",-1.99243016469021,4.76010101010101,-2.29257271383429,0.300142549144082
"45","102_1",-1.7498685275189,5.8816102198455,-2.18257419554177,0.432705668022872
"46","102_1",-1.55480794494751,6.72534165181222,-2.10012384259225,0.545315897644743
"47","102_1",-1.39165630426128,7.84685086155673,-1.99163837359651,0.599982069335234
"48","102_1",-1.27029544725701,8.68909685086157,-1.91142936512426,0.641133917867254
"49","102_1",-1.12023475268128,9.8128342245989,-1.80665230476498,0.686417552083704
"50","102_1",-0.352101765236768,23.8064468211527,-0.839577181101726,0.487475415864958
"51","102_1",-0.329544417812694,47.9775698158051,-0.322332355827581,-0.00721206198511254
"52","102_1",-0.25093253024304,72.1605763517528,-0.246855418415078,-0.00407711182796228
"53","102_1",-0.300238291227194,96.316844919786,-0.23679010524875,-0.0634481859784442
"54","102_1",-0.289466194245282,120.207961972668,-0.235464721309586,-0.0540014729356963
"55","102_1",-0.314784002229572,144.09165181224,-0.235285957032726,-0.0794980451968463
"56","103_1",-3.6346578999473,23.1237322515209,-3.60291024977769,-0.0317476501696068
"57","103_1",-3.25166564769119,46.2474645030424,-3.23024649856464,-0.0214191491265505
"58","103_1",-2.94151071938735,71.8052738336711,-2.87693689961722,-0.0645738197701298
"59","103_1",-2.49256049933945,94.9290060851924,-2.6029177940791,0.110357294739654
"60","103_1",-2.26517065714378,118.052738336713,-2.36621223502902,0.101041577885244
"61","103_1",-2.1232003958734,143.610547667343,-2.14194760307919,0.0187472072057884
"62","103_1",-1.99890267919582,166.734279918864,-1.96811169166762,-0.030790987528204
"63","103_1",-1.83184859453266,191.075050709939,-1.81071122831798,-0.0211373662146754
"64","103_1",-1.64222773525709,214.19878296146,-1.68212746327063,0.039899728013542
"65","103_1",-1.53868705631625,238.539553752535,-1.56572545718973,0.0270384008734783
"66","103_1",-1.53868705631625,262.88032454361,-1.46602488249746,-0.0726621738187856
"67","103_1",-1.43743332261108,287.221095334686,-1.38063590496492,-0.0567974176461612
