"","Mean.log10.Predator.Mass","Mean.log10.Prey.Mass","Median.log10.Predator.Mass","Median.log10.Prey.Mass","Mean.Predator.Prey.Size.Ratio","Median.Predator.Prey.Size.Ratio"
"insectivorous",-0.0858536431379306,-1.29267531462519,-0.0675872922666792,-1.35457773065091,-1.20682167148726,-1.13593299107651
"piscivorous",3.34938083719067,0.710300904876981,3.46239799789896,0.789580712164425,-2.63907993231369,-2.43933269383026
"planktivorous",-1.23531396856292,-5.34066111239019,-1.66554624884907,-6.05948351506743,-4.10534714382726,-4.26717172840301
"predacious",2.07587104342544,-1.47629375996489,2.78461729263288,-0.661543506395395,-3.55216480339033,-3.60069619171797
"predacious/piscivorous",2.63357803391732,1.04703454903149,2.77085201164214,1.13353890837022,-1.58654348488583,-1.61135559075153
