"","ID_no_Rep_dup","LogPopBio","Time",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"1","1_1",-3.28671462813707,6.46651270207826,-2.23432833589365,-1.05238629224342,0.170885617513778,0.302461054013579,0.876948913688418,-2.91713557377578
"2","1_1",-3.03347970762002,22.1709006928405,-2.23256211534793,-0.800917592272089,0.154838798263898,0.35146371025347,0.442918345656772,-2.19890624333273
"3","1_1",-2.36821838818452,47.1131639722861,-2.22975694154002,-0.138461446644495,0.131651724555483,0.405544436020201,0.0106621234018295,-0.375033917976146
"4","1_1",-1.86342168712123,71.1316397228635,-2.22705566305834,0.363633975937106,0.111990175676321,0.39676229812151,0.0598164463932121,0.973966959941193
"5","1_1",-1.73367359236372,95.150115473441,-2.22435438457665,0.490680792212928,0.0949450551880977,0.38847608097116,0.0888930670167227,1.30181790439425
"6","1_1",-1.79499796384657,119.168591224018,-2.22165310609496,0.42665514224839,0.0805163630908139,0.393311905880454,0.0552201298059657,1.12303589364081
"7","1_1",-1.82663306282588,143.187066974596,-2.21895182761327,0.392318764787392,0.0687040993844684,0.395615046615014,0.0388358437862475,1.02608630390625
"8","1_1",-1.93018835133133,168.129330254042,-2.21614665380536,0.285958302474035,0.0592068292540874,0.401078622833802,0.017423533178329,0.744122244667573
"9","1_1",-1.92912797331328,191.224018475751,-2.2135492706499,0.284421297336615,0.0529288571445948,0.401182623151458,0.0152054350253574,0.737665489786867
"10","1_1",-1.92802637164269,215.242494226328,-2.21084799216821,0.282821620525517,0.0489658786110665,0.401273320901608,0.0137934810111847,0.731986737157025
"11","1_1",-2.00301096368469,239.260969976905,-2.20814671368652,0.205135750001829,0.0476193284684771,0.404027412156329,0.00703707440366621,0.530548049670226
"12","1_1",-2.10574283780825,263.279445727483,-2.20544543520483,0.0997025973965808,0.0488892067168266,0.40634002191884,0.0017112404202126,0.258035567265661
"13","1_1",-2.12654444646951,287.29792147806,-2.20274415672314,0.0761997102536331,0.052775513356115,0.406635348109036,0.00108787898724167,0.197613002572851
"14","1_1",-2.17089527185019,311.316397228637,-2.20004287824145,0.0291476063912648,0.0592782483863422,0.406992239924486,0.000181270067869816,0.0758509384581032
"15","1_1",-2.19311294929681,335.334872979215,-2.19734159975977,0.00422865046295628,0.0683974118075087,0.407052564470437,4.48878894817218e-06,0.0110579621788221
"16","1_1",-2.21583549006411,359.353348729792,-2.19464032127808,-0.0211951687860314,0.0801330036196137,0.407020546094185,0.000135513455870172,-0.0557780100250131
"17","1_1",-2.31713227032692,383.37182448037,-2.19193904279639,-0.12519322753053,0.0944850238226582,0.405870987682837,0.0057528187145023,-0.332063906199709
"18","1_1",-2.31550889334703,407.390300230947,-2.1892377643147,-0.126271129032328,0.111453472416641,0.405827485208774,0.00716949717437922,-0.338105808568569
"19","1_1",-2.34122829780267,431.408775981524,-2.18653648583301,-0.154691811969656,0.131038349401563,0.405170287536274,0.0132275423629145,-0.418847257941375
"20","1_1",-2.36762669164184,455.427251732102,-2.18383520735133,-0.183791484290514,0.153239654777424,0.40432241054626,0.0229957843550234,-0.504119834144967
"21","1_1",-2.51912998612882,479.445727482679,-2.18113392886964,-0.337996057259182,0.178057388544224,0.397455936697623,0.0959064003801788,-0.940978155489746
"22","10_1",-4.32438643049407,1.1045364891518,-2.80830241165729,-1.51608401883678,0.117105205639518,0.760357833852464,0.231155590933215,-1.86695382370869
"23","10_1",-3.73655586647212,1.93293885601574,-2.80212908622142,-0.934426780250701,0.115128709875956,0.851533748736585,0.0859436028793397,-1.14939686718833
"24","10_1",-3.36911815395319,3.31360946745559,-2.79184021049497,-0.577277943458216,0.111931692417431,0.883572914042037,0.0316613792174881,-0.708804658515478
"25","10_1",-3.04362820078519,4.41814595660745,-2.78360910991382,-0.260019090871372,0.10946150638328,0.89883987001458,0.00624692183732336,-0.318818615801719
"26","10_1",-2.75583636487355,5.52268244575927,-2.77537800933266,0.019541644459113,0.107069034067057,0.902649475957658,3.43281109456528e-05,0.0239285812779863
"27","10_1",-2.53275867018948,7.17948717948707,-2.76303135846093,0.230272688271449,0.103626038813839,0.899687265784288,0.00457799030632339,0.281424951354354
"28","10_1",-2.32298118186845,8.56015779092695,-2.75274248273448,0.429761300866034,0.100890446555513,0.892267023318415,0.0154304646759027,0.524427894811314
"29","10_1",-2.14967062790505,9.94082840236675,-2.74245360700804,0.592782979102989,0.0982762819814501,0.88282993713431,0.0284310405943001,0.72231022573496
"30","10_1",-1.65796521347328,24.0236686390532,-2.6375070745983,0.979541861125023,0.0785477526511133,0.84861764506545,0.059420140095249,1.18073209469234
"31","10_1",-1.71776809815303,47.7712031558185,-2.46053841210345,0.742770313950423,0.0738932560451905,0.872157016927383,0.0318193541440029,0.893076783275236
"32","10_1",-0.892134075218801,71.7948717948717,-2.28151197446331,1.38937789924451,0.105736798902571,0.786496743491063,0.170858183532334,1.70001397317961
"33","10_1",-1.69360391572136,96.094674556213,-2.10042776167789,0.406823845956527,0.175346086246962,0.892507571419072,0.0285670242832808,0.518364586236027
"34","10_1",-2.4936874170173,120.118343195266,-1.92140132403775,-0.57228609297955,0.281139088820533,0.87942991938608,0.119277204854197,-0.781008108030101
"35","10_1",-2.67521126812234,143.865877712032,-1.7444326615429,-0.930778606579445,0.421848101599587,0.823765463396374,0.731921570066182,-1.41641396314798
"36","100_1",-3.72867554446626,3.69515011547321,-2.00141293176024,-1.72726261270602,0.129809332235071,0.777554227990695,0.346005567224987,-2.15382688626203
